source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	ffn_gate_up_swiglu	384	6618.96	30.9	17.237
layer	gdn	gdn_front	384	3814.27	17.8	9.933
layer	gdn	ffn_down_resid	384	3453.40	16.1	8.993
layer	attn	ffn_gate_up_swiglu	128	2229.48	10.4	17.418
layer	gdn	gdn_back	384	1227.88	5.7	3.198
layer	attn	ffn_down_resid	128	1148.85	5.4	8.975
attn-detail	attn	proj	128	937.50	4.4	7.324
layer	gdn	gdn_step	384	597.93	2.8	1.557
layer	attn	attn_back	128	394.36	1.8	3.081
attn-detail	attn	body_matrix_kqv	128	214.85	1.0	1.679
attn-detail	attn	body_matrix_kq	128	210.92	1.0	1.648
layer	gdn	gdn_prep	384	196.98	0.9	0.513
layer	gdn	gdn_gated	384	167.00	0.8	0.435
attn-detail	attn	body_matrix_softmax	128	64.24	0.3	0.502
attn-detail	attn	norm	128	31.32	0.1	0.245
layer	gdn	mixer_resid	384	22.51	0.1	0.059
layer	gdn	pre_norm	384	17.35	0.1	0.045
layer	gdn	ffn_norm	384	12.96	0.1	0.034
attn-detail	attn	split_q_gate	128	10.91	0.1	0.085
attn-detail	attn	rope_scatter	128	7.95	0.0	0.062
layer	attn	mixer_resid	128	7.56	0.0	0.059
layer	attn	pre_norm	128	5.14	0.0	0.040
layer	gdn	gdn_alpha_beta	384	5.11	0.0	0.013
layer	attn	ffn_norm	128	4.60	0.0	0.036
