source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	ffn_gate_up_swiglu	192	6276.30	31.8	32.689
layer	gdn	ffn_down_resid	192	3211.48	16.3	16.726
layer	attn	ffn_gate_up_swiglu	64	2096.28	10.6	32.754
layer	gdn	gdn_qkv	192	1844.11	9.4	9.605
layer	gdn	gdn_back	192	1172.70	5.9	6.108
layer	gdn	gdn_z	192	1102.01	5.6	5.740
layer	attn	ffn_down_resid	64	1073.31	5.4	16.770
attn-detail	attn	proj	64	873.68	4.4	13.651
layer	gdn	gdn_step	192	614.88	3.1	3.203
layer	attn	attn_back	64	376.52	1.9	5.883
attn-detail	attn	body_matrix_kqv	64	219.10	1.1	3.423
attn-detail	attn	body_matrix_kq	64	217.67	1.1	3.401
layer	gdn	gdn_prep	192	186.07	0.9	0.969
layer	gdn	gdn_gated	192	159.99	0.8	0.833
layer	gdn	gdn_beta_alpha	192	105.96	0.5	0.552
attn-detail	attn	body_matrix_softmax	64	63.57	0.3	0.993
attn-detail	attn	norm	64	30.25	0.2	0.473
layer	gdn	mixer_resid	192	26.22	0.1	0.137
layer	gdn	pre_norm	192	17.06	0.1	0.089
layer	gdn	ffn_norm	192	13.73	0.1	0.072
attn-detail	attn	split_q_gate	64	12.81	0.1	0.200
layer	attn	mixer_resid	64	8.51	0.0	0.133
attn-detail	attn	rope_scatter	64	6.57	0.0	0.103
layer	attn	pre_norm	64	4.56	0.0	0.071
layer	attn	ffn_norm	64	4.51	0.0	0.070
layer	gdn	gdn_alpha_beta	192	1.84	0.0	0.010
