source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	ffn_gate_up_swiglu	192	6424.99	31.0	33.463
layer	gdn	ffn_down_resid	192	3293.54	15.9	17.154
layer	attn	ffn_gate_up_swiglu	64	2152.05	10.4	33.626
layer	gdn	gdn_qkv	192	1876.10	9.1	9.771
layer	gdn	gdn_back	192	1188.71	5.7	6.191
layer	gdn	gdn_z	192	1124.07	5.4	5.855
layer	attn	ffn_down_resid	64	1102.40	5.3	17.225
attn-detail	attn	proj	64	893.15	4.3	13.955
layer	gdn	gdn_beta_alpha	192	672.45	3.2	3.502
layer	gdn	gdn_step	192	604.94	2.9	3.151
layer	attn	attn_back	64	381.87	1.8	5.967
attn-detail	attn	body_matrix_kqv	64	222.67	1.1	3.479
attn-detail	attn	body_matrix_kq	64	217.91	1.1	3.405
layer	gdn	gdn_prep	192	186.16	0.9	0.970
layer	gdn	gdn_gated	192	160.47	0.8	0.836
attn-detail	attn	body_matrix_softmax	64	63.41	0.3	0.991
attn-detail	attn	norm	64	31.01	0.1	0.485
layer	gdn	mixer_resid	192	27.18	0.1	0.142
layer	gdn	pre_norm	192	15.67	0.1	0.082
attn-detail	attn	split_q_gate	64	13.62	0.1	0.213
layer	gdn	ffn_norm	192	13.23	0.1	0.069
layer	attn	mixer_resid	64	9.07	0.0	0.142
attn-detail	attn	rope_scatter	64	6.78	0.0	0.106
layer	attn	pre_norm	64	5.25	0.0	0.082
layer	attn	ffn_norm	64	4.61	0.0	0.072
layer	gdn	gdn_alpha_beta	192	2.54	0.0	0.013
