source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	pre_norm	120	957.96	33.9	7.983
layer	gdn	gdn_qkv	120	335.05	11.8	2.792
layer	attn	pre_norm	40	328.00	11.6	8.200
layer	gdn	gdn_step	120	253.47	9.0	2.112
layer	gdn	gdn_back	120	168.18	5.9	1.402
layer	gdn	gdn_z	120	166.57	5.9	1.388
attn-detail	attn	proj	40	131.11	4.6	3.278
layer	gdn	gdn_prep	120	112.91	4.0	0.941
attn-detail	attn	body_matrix_kqv	40	87.72	3.1	2.193
attn-detail	attn	body_matrix_kq	40	82.04	2.9	2.051
layer	gdn	gdn_gated	120	65.54	2.3	0.546
layer	attn	attn_back	40	60.93	2.2	1.523
attn-detail	attn	body_matrix_softmax	40	26.80	0.9	0.670
layer	gdn	gdn_beta_alpha	120	24.88	0.9	0.207
attn-detail	attn	norm	40	12.19	0.4	0.305
layer	gdn	mixer_resid	120	5.47	0.2	0.046
attn-detail	attn	split_q_gate	40	5.11	0.2	0.128
attn-detail	attn	rope_scatter	40	2.45	0.1	0.061
layer	attn	mixer_resid	40	1.76	0.1	0.044
layer	gdn	gdn_alpha_beta	120	0.42	0.0	0.004
