source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	pre_norm	120	952.99	33.8	7.942
layer	gdn	gdn_qkv	120	334.24	11.9	2.785
layer	attn	pre_norm	40	324.51	11.5	8.113
layer	gdn	gdn_step	120	252.32	9.0	2.103
layer	gdn	gdn_back	120	167.25	5.9	1.394
layer	gdn	gdn_z	120	165.55	5.9	1.380
attn-detail	attn	proj	40	131.36	4.7	3.284
layer	gdn	gdn_prep	120	111.84	4.0	0.932
attn-detail	attn	body_matrix_kqv	40	86.62	3.1	2.166
attn-detail	attn	body_matrix_kq	40	82.38	2.9	2.060
layer	gdn	gdn_gated	120	67.45	2.4	0.562
layer	attn	attn_back	40	60.64	2.2	1.516
attn-detail	attn	body_matrix_softmax	40	27.61	1.0	0.690
layer	gdn	gdn_beta_alpha	120	24.33	0.9	0.203
attn-detail	attn	norm	40	12.22	0.4	0.305
attn-detail	attn	split_q_gate	40	5.52	0.2	0.138
layer	gdn	mixer_resid	120	5.29	0.2	0.044
attn-detail	attn	rope_scatter	40	2.38	0.1	0.059
layer	attn	mixer_resid	40	1.87	0.1	0.047
layer	gdn	gdn_alpha_beta	120	0.96	0.0	0.008
