source	kind	phase	count	gpu_ms	pct	avg_ms
layer	moe	routed_swiglu	47	585.07	34.8	12.448
layer	moe	routed_down	47	317.90	18.9	6.764
layer	gdn	gdn_qkv	36	150.09	8.9	4.169
layer	attn	pre_norm	12	137.84	8.2	11.487
layer	gdn	gdn_z	36	89.83	5.3	2.495
layer	gdn	gdn_back	36	83.36	5.0	2.316
layer	gdn	gdn_step	36	76.84	4.6	2.134
attn-detail	attn	proj	12	62.94	3.7	5.245
layer	moe	shared_packed	47	57.87	3.4	1.231
layer	attn	attn_back	12	28.85	1.7	2.404
layer	gdn	gdn_gated	36	21.26	1.3	0.591
layer	gdn	gdn_prep	36	18.80	1.1	0.522
layer	moe	route_fused	47	11.52	0.7	0.245
layer	gdn	gdn_beta_alpha	36	9.12	0.5	0.253
layer	moe	routed_reduce	47	6.47	0.4	0.138
attn-detail	attn	body_matrix_kqv	12	5.76	0.3	0.480
attn-detail	attn	body_matrix_kq	12	5.46	0.3	0.455
attn-detail	attn	norm	12	3.35	0.2	0.279
attn-detail	attn	body_matrix_softmax	12	3.11	0.2	0.259
attn-detail	attn	split_q_gate	12	1.37	0.1	0.114
layer	gdn	pre_norm	36	1.21	0.1	0.034
layer	gdn	mixer_resid	36	1.06	0.1	0.029
layer	moe	post_norm	48	0.99	0.1	0.021
attn-detail	attn	rope_scatter	12	0.53	0.0	0.044
layer	attn	mixer_resid	12	0.36	0.0	0.030
layer	gdn	gdn_alpha_beta	36	0.19	0.0	0.005
