source	kind	phase	count	gpu_ms	pct	avg_ms
layer	moe	routed_swiglu	47	636.17	36.4	13.536
layer	moe	routed_down	47	340.65	19.5	7.248
layer	gdn	gdn_qkv	36	150.35	8.6	4.176
layer	attn	pre_norm	12	137.73	7.9	11.477
layer	gdn	gdn_z	36	86.79	5.0	2.411
layer	gdn	gdn_back	36	81.62	4.7	2.267
layer	gdn	gdn_step	36	74.99	4.3	2.083
layer	moe	shared_packed	47	60.83	3.5	1.294
attn-detail	attn	proj	12	60.63	3.5	5.052
layer	attn	attn_back	12	27.71	1.6	2.309
layer	gdn	gdn_gated	36	20.56	1.2	0.571
layer	gdn	gdn_prep	36	17.84	1.0	0.496
layer	moe	route_fused	47	10.62	0.6	0.226
layer	gdn	gdn_beta_alpha	36	8.62	0.5	0.239
layer	moe	routed_reduce	47	7.33	0.4	0.156
attn-detail	attn	body_matrix_kqv	12	5.92	0.3	0.493
attn-detail	attn	body_matrix_kq	12	5.22	0.3	0.435
attn-detail	attn	norm	12	3.65	0.2	0.304
attn-detail	attn	body_matrix_softmax	12	3.39	0.2	0.283
attn-detail	attn	split_q_gate	12	1.34	0.1	0.112
layer	gdn	mixer_resid	36	1.16	0.1	0.032
layer	moe	post_norm	48	1.15	0.1	0.024
layer	gdn	pre_norm	36	1.07	0.1	0.030
attn-detail	attn	rope_scatter	12	0.49	0.0	0.041
layer	attn	mixer_resid	12	0.39	0.0	0.033
layer	gdn	gdn_alpha_beta	36	0.16	0.0	0.004
