source	kind	phase	count	gpu_ms	pct	avg_ms
layer	moe	routed_swiglu	48	795.55	40.1	16.574
layer	moe	routed_down	48	516.71	26.1	10.765
layer	gdn	gdn_qkv	36	150.45	7.6	4.179
layer	gdn	gdn_back	36	96.13	4.9	2.670
layer	gdn	gdn_z	36	89.27	4.5	2.480
layer	gdn	gdn_step	36	79.85	4.0	2.218
attn-detail	attn	proj	12	67.68	3.4	5.640
layer	moe	shared_packed	48	59.10	3.0	1.231
layer	attn	attn_back	12	33.49	1.7	2.791
layer	gdn	gdn_gated	36	20.02	1.0	0.556
layer	gdn	gdn_prep	36	18.84	1.0	0.523
layer	moe	route_fused	48	12.12	0.6	0.253
layer	gdn	gdn_beta_alpha	36	9.09	0.5	0.253
layer	moe	routed_reduce	48	7.12	0.4	0.148
attn-detail	attn	body_matrix_kqv	12	6.37	0.3	0.531
attn-detail	attn	body_matrix_kq	12	6.19	0.3	0.516
attn-detail	attn	norm	12	3.71	0.2	0.309
attn-detail	attn	body_matrix_softmax	12	3.32	0.2	0.277
attn-detail	attn	split_q_gate	12	1.88	0.1	0.157
layer	gdn	pre_norm	36	1.08	0.1	0.030
layer	moe	post_norm	48	1.04	0.1	0.022
layer	gdn	mixer_resid	36	0.97	0.0	0.027
attn-detail	attn	rope_scatter	12	0.64	0.0	0.053
layer	gdn	gdn_alpha_beta	36	0.32	0.0	0.009
layer	attn	mixer_resid	12	0.29	0.0	0.024
layer	attn	pre_norm	12	0.28	0.0	0.023
