source	kind	phase	count	gpu_ms	pct	avg_ms
layer	moe	routed_swiglu	48	693.59	41.9	14.450
layer	moe	routed_down	48	367.46	22.2	7.655
layer	gdn	gdn_qkv	36	132.97	8.0	3.694
layer	attn	attn	12	103.16	6.2	8.597
layer	gdn	gdn_z	36	79.58	4.8	2.211
layer	gdn	gdn_back	36	78.32	4.7	2.176
layer	gdn	gdn_step	36	71.93	4.3	1.998
layer	moe	shared_packed	48	54.17	3.3	1.129
layer	gdn	gdn_prep	36	19.43	1.2	0.540
layer	gdn	gdn_gated	36	19.33	1.2	0.537
layer	moe	route_fused	48	10.72	0.6	0.223
layer	moe	routed_reduce	48	10.51	0.6	0.219
layer	gdn	gdn_beta_alpha	36	9.08	0.5	0.252
layer	gdn	mixer_resid	36	1.45	0.1	0.040
layer	gdn	pre_norm	36	1.10	0.1	0.031
layer	moe	post_norm	48	1.07	0.1	0.022
layer	attn	mixer_resid	12	0.61	0.0	0.051
layer	gdn	gdn_alpha_beta	36	0.35	0.0	0.010
layer	attn	pre_norm	12	0.32	0.0	0.027
