[pp] device: Apple M4 Max | unified_memory=true | max_threadgroup_memory=32768 bytes
[pp] power: source=AC Power battery=100% charged warning=none powermode_ac=2 powermode_battery=2 thermal_warning=false performance_warning=false
[pp] model=/Users/tito/models/unsloth-Qwen3.5-122B-A10B-GGUF/UD-Q4_K_XL/Qwen3.5-122B-A10B-UD-Q4_K_XL.gguf source=synthetic token ids (seed=1) n_prompt=512 runs=1 chunk=512 tail=skip
[pp] lowering: gdn_batched=36/36 attn_batched=12/12 dense_ffn_batched=0/0 moe_gpu_token_loop=48/48
[pp] dtype sample gdn: qkv=Q8_0 z=Q8_0 out=Q8_0
[pp] dtype sample attn: q=Q8_0 k=Q8_0 v=Q8_0 o=Q8_0
[pp] dtype sample moe: gate=Q4_K up=Q4_K down=Q5_K
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=pre_norm gpu_ms=0.26
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_qkv gpu_ms=12.35
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_z gpu_ms=3.28
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_beta_alpha gpu_ms=0.29
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_prep gpu_ms=0.60
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_step gpu_ms=2.92
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_gated gpu_ms=0.69
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_back gpu_ms=3.08
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=post_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=route_fused gpu_ms=0.35
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=routed_swiglu gpu_ms=12.57
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=routed_down gpu_ms=7.09
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=shared_packed gpu_ms=1.21
