[pp] device: Apple M4 Max | unified_memory=true | max_threadgroup_memory=32768 bytes
[pp] power: source=AC Power battery=79% AC attached warning=none powermode_ac=2 powermode_battery=2 thermal_warning=false performance_warning=false
[metal-load] native quantized token embedding policy: auto-promoted (Q8_0 [2048, 248320])
[metal-load-ledger] source=733/22123538944 direct_copy=733/22123538944 direct_view=0/0 direct_alias=0/0 tail_fallback=0/0 converted=0/0/0 derived=0/0
[pp] model=/Users/tito/models/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf source=synthetic token ids (seed=1) n_prompt=512 runs=1 chunk=512 tail=skip
[pp] lowering: gdn_batched=30/30 attn_batched=10/10 dense_ffn_batched=0/0 moe_gpu_token_loop=40/40
[pp] dtype sample gdn: qkv=Q8_0 z=Q8_0 out=Q8_0
[pp] dtype sample attn: q=Q8_0 k=Q8_0 v=Q8_0 o=Q8_0
[pp] dtype sample moe: gate=Q4_K up=Q4_K down=Q5_K
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=pre_norm gpu_ms=0.26
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_qkv gpu_ms=5.99
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_z gpu_ms=3.05
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_beta_alpha gpu_ms=0.69
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_alpha_beta gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_prep_conv gpu_ms=0.84
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_prep_l2 gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_step gpu_ms=3.33
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_gated gpu_ms=0.08
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_back gpu_ms=3.11
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=mixer_resid gpu_ms=0.05
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=post_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=route_fused gpu_ms=0.70
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=moe phase=routed_swiglu gpu_ms=10.76
