[pp] device: Apple M4 Max | unified_memory=true | max_threadgroup_memory=32768 bytes
[pp] power: source=AC Power battery=78% AC attached warning=none powermode_ac=2 powermode_battery=2 thermal_warning=false performance_warning=false
[metal-load] native quantized token embedding policy: auto-promoted (Q4_K [5120, 248320])
[metal-load-ledger] source=851/16806250496 direct_copy=851/16806250496 direct_view=0/0 direct_alias=0/0 tail_fallback=0/0 converted=0/0/0 derived=0/0
[pp] model=/Users/tito/models/Qwen3.6-27B-Q4_K_M.gguf source=synthetic token ids (seed=1) n_prompt=4096 runs=3 chunk=1024 tail=skip
[pp] lowering: gdn_batched=48/48 attn_batched=16/16 dense_ffn_batched=64/64 moe_gpu_token_loop=0/0
[pp] dtype sample gdn: qkv=Q6_K z=Q4_K out=Q5_K
[pp] dtype sample attn: q=Q4_K k=Q4_K v=Q6_K o=Q4_K
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=pre_norm gpu_ms=1.49
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_qkv gpu_ms=19.19
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_z gpu_ms=4.96
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_beta_alpha gpu_ms=0.47
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_prep_conv gpu_ms=0.44
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_prep_l2 gpu_ms=0.04
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_step gpu_ms=2.33
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_gated gpu_ms=0.18
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=gdn_back gpu_ms=5.06
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=mixer_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_gate gpu_ms=13.81
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_up gpu_ms=13.82
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_swiglu gpu_ms=0.43
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_down gpu_ms=14.01
[prefill-layer-phase] chunk=0 start=0 layer=0 kind=gdn phase=ffn_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=pre_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_qkv gpu_ms=8.16
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_z gpu_ms=4.95
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_beta_alpha gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_prep_conv gpu_ms=0.44
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_prep_l2 gpu_ms=0.04
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_step gpu_ms=2.32
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_gated gpu_ms=0.15
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_back gpu_ms=5.06
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=mixer_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_gate gpu_ms=13.81
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_up gpu_ms=13.81
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_swiglu gpu_ms=0.41
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_down gpu_ms=14.02
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=ffn_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=pre_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_qkv gpu_ms=8.16
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_z gpu_ms=4.95
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_beta_alpha gpu_ms=0.47
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_prep_conv gpu_ms=0.43
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_prep_l2 gpu_ms=0.04
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_step gpu_ms=2.39
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_gated gpu_ms=0.16
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_back gpu_ms=5.05
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=mixer_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_gate gpu_ms=13.81
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_up gpu_ms=13.80
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_swiglu gpu_ms=0.42
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_down gpu_ms=14.01
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=ffn_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=pre_norm gpu_ms=0.06
[prefill-attn-phase] chunk=0 start=0 layer=3 phase=proj gpu_ms=11.61
[prefill-attn-phase] chunk=0 start=0 layer=3 phase=norm gpu_ms=0.45
[prefill-attn-phase] chunk=0 start=0 layer=3 phase=rope_scatter gpu_ms=0.09
[prefill-attn-matrix-g6-shape] layer=3 chunk_start=0 chunk_p=1024 query_rows=1024 query_tiles=1 n_pos=1024 score_tile_scratch_mib=51.00 vt_stride=4096 vt_layer_mib=8.00 vt_update_base=0 vt_update_rows=1024 vt_update_mib=2.00
[prefill-attn-phase] chunk=0 start=0 layer=3 phase=body_matrix_kq gpu_ms=0.53
[prefill-attn-phase] chunk=0 start=0 layer=3 phase=body_matrix_kqv gpu_ms=0.51
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=attn_back gpu_ms=5.01
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=mixer_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_gate gpu_ms=13.81
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_up gpu_ms=13.80
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_swiglu gpu_ms=0.42
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_down gpu_ms=14.00
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=ffn_resid gpu_ms=0.09
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=pre_norm gpu_ms=0.06
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_qkv gpu_ms=8.16
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_z gpu_ms=4.95
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_beta_alpha gpu_ms=0.45
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_prep_conv gpu_ms=0.44
